
Day,Meal,Food,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Tofu Scramble with Spinach and Onions,250,1 cup,15,10,2,20,15,200,2,300,5
Monday,Snack,Apple,95,1 medium,0,25,19,0,3,10,0,150,4
Monday,Lunch,Grilled Chicken Salad with Bok Choy and Carrots,350,2 cups,10,20,5,30,20,50,1.5,400,6
Monday,Snack,Grapes,70,1 cup,0,18,15,1,2,20,0.5,200,1
Monday,Dinner,Steamed Mackerel with Sweet Potatoes,400,150g,20,30,5,30,25,30,1,500,7
Total Calories for Monday, , ,1165, , , , , , , , , ,
Tuesday,Breakfast,Pumpkin Porridge with Rice,300,1 bowl,5,60,10,5,10,20,1,250,3
Tuesday,Snack,Pear,100,1 medium,0,27,17,1,3,15,0.5,180,5
Tuesday,Lunch,Beef Stir-fry with Broccoli and Garlic,400,1 plate,15,25,3,35,20,40,2,450,5
Tuesday,Snack,Carrot Sticks with Hummus,150,1 cup,5,30,5,5,5,10,0.5,200,4
Tuesday,Dinner,Pollock Soup with Napa Cabbage,350,1 bowl,10,20,2,30,15,25,1,300,3
Total Calories for Tuesday, , ,1300, , , , , , , , , ,
Wednesday,Breakfast,Spinach and Egg Omelette,250,2 eggs,15,5,1,20,15,50,1,300,2
Wednesday,Snack,Persimmon,120,1 medium,0,30,20,1,3,15,0.5,200,5
Wednesday,Lunch,Grilled Pork with Korean Radish,400,150g,20,20,5,30,25,30,1.5,400,6
Wednesday,Snack,Seaweed Salad,80,1 cup,2,10,0,5,5,10,0.5,150,2
Wednesday,Dinner,Stir-fried Tofu with Mushrooms and Green Onions,350,1 plate,15,25,3,25,20,30,1,400,5
Total Calories for Wednesday, , ,1200, , , , , , , , , ,
Thursday,Breakfast,Rice with Grilled Chicken,300,1 bowl,10,40,5,20,15,30,1,400,3
Thursday,Snack,Grapes,70,1 cup,0,18,15,1,2,20,0.5,200,1
Thursday,Lunch,Vegetable Stir-fry with Bok Choy and Carrots,350,2 cups,10,40,5,10,15,30,1,300,6
Thursday,Snack,Apple,95,1 medium,0,25,19,0,3,10,0,150,4
Thursday,Dinner,Beef and Sweet Potato Stew,400,1 bowl,15,30,5,30,25,40,1.5,500,7
Total Calories for Thursday, , ,1215, , , , , , , , , ,
Friday,Breakfast,Pumpkin Pancakes,300,2 pancakes,10,50,10,5,10,20,1,250,4
Friday,Snack,Pear,100,1 medium,0,27,17,1,3,15,0.5,180,5
Friday,Lunch,Grilled Mackerel with Spinach,400,150g,20,30,5,30,25,30,1,500,7
Friday,Snack,Carrot Sticks,50,1 cup,0,12,6,1,2,10,0.5,150,2
Friday,Dinner,Tofu and Vegetable Soup,350,1 bowl,10,20,2,25,15,25,1,300,3
Total Calories for Friday, , ,1200, , , , , , , , , ,
Saturday,Breakfast,Spinach and Egg Scramble,250,2 eggs,15,5,1,20,15,50,1,300,2
Saturday,Snack,Persimmon,120,1 medium,0,30,20,1,3,15,0.5,200,5
Saturday,Lunch,Chicken Salad with Napa Cabbage,350,2 cups,10,20,5,30,20,50,1.5,400,6
Saturday,Snack,Grapes,70,1 cup,0,18,15,1,2,20,0.5,200,1
Saturday,Dinner,Beef Stir-fry with Broccoli,400,1 plate,15,25,3,35,20,40,2,450,5
Total Calories for Saturday, , ,1260, , , , , , , , , ,
Sunday,Breakfast,Rice with Tofu and Vegetables,300,1 bowl,10,40,5,20,15,30,1,400,3
Sunday,Snack,Apple,95,1 medium,0,25,19,0,3,10,0,150,4
Sunday,Lunch,Grilled Pork with Sweet Potatoes,400,150g,20,30,5,30,25,30,1.5,400,6
Sunday,Snack,Seaweed Salad,80,1 cup,2,10,0,5,5,10,0.5,150,2
Sunday,Dinner,Pollock Soup with Vegetables,350,1 bowl,10,20,2,30,15,25,1,300,3
Total Calories for Sunday, , ,1225, , , , , , , , , ,
