csv
Day,Meal,Food Items,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Calcium (%DV),Iron (%DV),Potassium (%DV),Fiber (g)
Monday,Breakfast,Rice porridge with milk and banana,250,1 bowl,5,45,10,8,15,4,6,2
Monday,Snack,Apple,95,1 medium,0,25,19,0,1,1,5,4
Monday,Lunch,Stir-fried mustard greens with garlic and rice,300,1 plate,7,50,5,10,10,10,8,4
Monday,Snack,Carrot sticks,50,1 cup,0,12,6,1,1,2,4,2
Monday,Dinner,Grilled chicken with potatoes and spinach,400,1 plate,15,30,5,30,2,8,10,5
Total Calories for Monday, , ,1095, , , , , , , , ,

Tuesday,Breakfast,Buckwheat porridge with orange slices,220,1 bowl,4,40,10,6,4,3,5,3
Tuesday,Snack,Chilli pepper with cheese,150,1 piece,10,5,0,8,15,2,3,1
Tuesday,Lunch,Lentil soup with cabbage,350,1 bowl,5,60,5,20,6,15,8,7
Tuesday,Snack,Banana,105,1 medium,0,27,14,1,1,1,4,3
Tuesday,Dinner,Fish with radish and rice,350,1 plate,10,50,5,25,2,10,9,4
Total Calories for Tuesday, , ,1175, , , , , , , , ,

Wednesday,Breakfast,Eggs with spinach and toast,300,2 eggs,20,30,1,20,6,8,5,2
Wednesday,Snack,Tomato slices,30,1 medium,0,7,5,1,1,1,3,1
Wednesday,Lunch,Chickpea salad with carrots and onions,350,1 bowl,5,50,5,15,4,10,8,6
Wednesday,Snack,Apple,95,1 medium,0,25,19,0,1,1,5,4
Wednesday,Dinner,Chicken curry with rice,450,1 plate,15,60,5,30,2,15,10,5
Total Calories for Wednesday, , ,1225, , , , , , , , ,

Thursday,Breakfast,Rice porridge with ginger and honey,250,1 bowl,5,45,10,8,15,4,6,2
Thursday,Snack,Carrot sticks,50,1 cup,0,12,6,1,1,2,4,2
Thursday,Lunch,Stir-fried green beans with garlic and rice,300,1 plate,7,50,5,10,10,10,8,4
Thursday,Snack,Banana,105,1 medium,0,27,14,1,1,1,4,3
Thursday,Dinner,Grilled fish with potatoes and spinach,400,1 plate,15,30,5,30,2,8,10,5
Total Calories for Thursday, , ,1105, , , , , , , , ,

Friday,Breakfast,Buckwheat pancakes with honey,250,2 pancakes,5,45,10,8,15,4,6,2
Friday,Snack,Orange,95,1 medium,0,25,19,0,1,1,5,4
Friday,Lunch,Lentil stew with cabbage,350,1 bowl,5,60,5,20,6,15,8,7
Friday,Snack,Chilli pepper with cheese,150,1 piece,10,5,0,8,15,2,3,1
Friday,Dinner,Chicken with radish and rice,400,1 plate,15,50,5,25,2,10,9,4
Total Calories for Friday, , ,1245, , , , , , , , ,

Saturday,Breakfast,Eggs with tomatoes and toast,300,2 eggs,20,30,1,20,6,8,5,2
Saturday,Snack,Apple,95,1 medium,0,25,19,0,1,1,5,4
Saturday,Lunch,Chickpea curry with rice,350,1 plate,5,60,5,15,4,10,8,6
Saturday,Snack,Banana,105,1 medium,0,27,14,1,1,1,4,3
Saturday,Dinner,Fish with spinach and potatoes,400,1 plate,15,30,5,30,2,8,10,5
Total Calories for Saturday, , ,1250, , , , , , , , ,

Sunday,Breakfast,Rice porridge with milk and banana,250,1 bowl,5,45,10,8,15,4,6,2
Sunday,Snack,Carrot sticks,50,1 cup,0,12,6,1,1,2,4,2
Sunday,Lunch,Lentil soup with cabbage,350,1 bowl,5,60,5,20,6,15,8,7
Sunday,Snack,Orange,95,1 medium,0,25,19,0,1,1,5,4
Sunday,Dinner,Grilled chicken with potatoes and spinach,400,1 plate,15,30,5,30,2,8,10,5
Total Calories for Sunday, , ,1145, , , , , , , , ,
