csv
Day,Meal,Food Item,Serving Size,Calories,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Calcium (%DV),Iron (%DV),Potassium (mg),Fiber (g)
Monday,Breakfast,Yogurt with Banana and Honey,250g,250,5,40,20,10,10,15,2,400,2
Monday,Snack,Apple with Peanut Butter,1 medium + 2 tbsp,195,9,25,19,10,4,1,200,4
Monday,Lunch,Grilled Chicken Salad with Spinach and Olive Oil,300g,500,20,20,5,50,10,15,800,5
Monday,Snack,Dried Dates,100g,277,0,74,64,1,2,3,300,8
Monday,Dinner,Stuffed Bell Peppers with Quinoa and Cheese,350g,600,25,80,10,30,15,20,900,10
Total Calories for Monday,,,"",1822,,,,,,,,,
Tuesday,Breakfast,Omelette with Tomatoes, Spinach, and Cheese,3 eggs,350,25,5,5,2,24,15,15,400,0
Tuesday,Snack,Cucumber Slices with Hummus,100g + 50g,150,8,20,5,1,5,1,150,4
Tuesday,Lunch,Lentil Soup with Carrots and Bread,300g + 1 slice,400,10,60,10,5,20,4,20,500,8
Tuesday,Snack,Pomegranate Seeds,150g,125,1,30,14,1,2,2,250,4
Tuesday,Dinner,Grilled Eggplant with Olive Oil and Rice,350g,500,20,70,10,10,10,15,600,7
Total Calories for Tuesday,,,"",1525,,,,,,,,,
Wednesday,Breakfast,Smoothie with Yogurt, Banana, and Spinach,300ml,300,5,50,30,10,15,2,400,3
Wednesday,Snack,Carrot Sticks with Hummus,100g + 50g,150,8,20,5,1,5,1,200,4
Wednesday,Lunch,Chickpea Salad with Cucumbers and Tomatoes,300g,400,10,60,8,20,6,15,500,8
Wednesday,Snack,Dried Dates,100g,277,0,74,64,1,2,3,300,8
Wednesday,Dinner,Rice with Grilled Chicken and Vegetables,400g,600,15,80,10,30,2,10,600,4
Total Calories for Wednesday,,,"",1727,,,,,,,,,
Thursday,Breakfast,Oatmeal with Apples and Nuts,250g,350,15,50,20,10,10,2,300,5
Thursday,Snack,Banana with Peanut Butter,1 medium + 2 tbsp,195,9,25,19,10,4,1,200,4
Thursday,Lunch,Stuffed Zucchini with Quinoa and Cheese,350g,500,20,60,10,15,10,15,800,8
Thursday,Snack,Yogurt with Pomegranate,250g,150,3,30,12,6,15,2,300,1
Thursday,Dinner,Grilled Fish with Spinach and Potatoes,400g,600,20,60,5,30,5,10,600,4
Total Calories for Thursday,,,"",1895,,,,,,,,,
Friday,Breakfast,Smoothie with Spinach, Banana, and Yogurt,300ml,300,5,50,30,10,15,2,400,3
Friday,Snack,Cucumber with Hummus,100g + 50g,150,8,20,5,1,5,1,150,4
Friday,Lunch,Fava Bean Salad with Tomatoes and Bread,300g + 1 slice,400,10,60,5,10,4,15,400,8
Friday,Snack,Dried Dates,100g,277,0,74,64,1,2,3,300,8
Friday,Dinner,Chicken Stir-fry with Vegetables and Rice,400g,600,15,80,10,30,2,10,600,4
Total Calories for Friday,,,"",1877,,,,,,,,,
Saturday,Breakfast,Yogurt with Honey, Nuts, and Banana,250g,350,15,50,20,10,10,2,400,5
Saturday,Snack,Apple with Cheese,1 medium + 30g,195,9,25,19,10,4,1,200,4
Saturday,Lunch,Quinoa Salad with Chickpeas and Olive Oil,300g,500,20,60,10,15,10,15,800,8
Saturday,Snack,Pomegranate,1 medium,83,1,19,14,1,2,2,250,4
Saturday,Dinner,Grilled Chicken with Potatoes and Vegetables,400g,600,20,60,5,30,2,10,600,4
Total Calories for Saturday,,,"",1828,,,,,,,,,
Sunday,Breakfast,Omelette with Spinach, Tomatoes, and Cheese,3 eggs,350,25,5,5,2,24,15,15,400,0
Sunday,Snack,Cucumber Slices with Hummus,100g + 50g,150,8,20,5,1,5,1,150,4
Sunday,Lunch,Lentil Soup with Carrots and Bread,300g + 1 slice,400,10,60,10,5,20,4,20,500,8
Sunday,Snack,Dried Dates,100g,277,0,74,64,1,2,3,300,8
Sunday,Dinner,Stuffed Bell Peppers with Quinoa and Cheese,350g,600,25,80,10,30,15,20,900,10
Total Calories for Sunday,,,"",1877,,,,,,,,,
