Area,Average dietary energy supply adequacy (percent) (3-year average),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),"Gross domestic product per capita, PPP, (constant 2017 international $)",Prevalence of undernourishment (percent) (3-year average),Prevalence of severe food insecurity in the male adult population (percent) (3-year average),Prevalence of severe food insecurity in the female adult population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),Cereal import dependency ratio (percent) (3-year average),Percent of arable land equipped for irrigation (percent) (3-year average),Value of food imports in total merchandise exports (percent) (3-year average),Political stability and absence of violence/terrorism (index),Per capita food supply variability (kcal/cap/day),Percentage of population using safely managed drinking water services (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Prevalence of obesity in the adult population (18 years and older) (percent),Number of obese adults (18 years and older) (million),Prevalence of anemia among women of reproductive age (15-49 years) (percent),Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),Prevalence of low birthweight (percent),Minimum dietary energy requirement  (kcal/cap/day),Average dietary energy requirement (kcal/cap/day),Coefficient of variation of habitual caloric consumption distribution (real number),Incidence of caloric losses at retail distribution level (percent),Average fat supply (g/cap/day) (3-year average),Rail lines density (total route in km per 100 square km of land area),Percentage of population using safely managed sanitation services (percent)
Afghanistan,105,2242,2242,71,61.9,10.2,2138.9,30.4,26.5,34.7,76.4,85.4,42.5,4.9,142,-2.55,26,30,82,56,3.6,33.1,3.7,19.2,3.9,42.6,63.3,,1666,2144,0.4,2.63,43,,
Albania,134,3318,3346,33,116.8,62.1,17261,4.5,7.2,9.3,28.6,35.7,44.1,13.1,22,0.11,41,71,95,99,,8.3,13.4,23.4,0.5,24.8,,6,1914,2487,0.29,2.95,112.7,1.5,56
Algeria,152,3513,3509,50,95.1,26.4,13090.9,<2.5,7,4.3,20.9,16.9,80.6,0.6,25,-0.74,42,71,95,86,,8.6,11.9,23.8,6.9,33.3,,7.2,1790,2307,0.29,3.53,99.1,0.2,62
American Samoa,,,,,,,,,,,,,,,,1.13,,90,99,54,,,,75.2,<0.1,,,,,,,3.02,,,37
Andorra,,,,,,,63379,,,,,,,0.3,,1.59,,91,99,99,,,,18.1,<0.1,12.1,,9.4,,,,3.02,,,99
Angola,111,2352,2397,63,48.3,14.9,7407.1,23.2,30.4,33.3,76.2,82.2,39.2,0.1,7,-0.65,70,,58,52,,43.6,3.9,11.5,2,44.5,,15.5,1674,2152,0.36,3.84,51.7,,
Antigua and Barbuda,,,,28,93.3,63.9,27757.2,,7.4,6.8,29,37,100,0.9,643,0.94,3,,98,97,,,,33.3,<0.1,17.2,,15.4,1909,2471,0.29,3.37,95.6,,
Argentina,137,3367,3353,33,119.6,74.3,27127.4,3.2,10.4,15.7,30.5,41.7,-138.2,0.9,5,-0.01,13,,99,95,,9.5,12.6,35.4,11.6,11.9,,7.4,1886,2445,0.28,2.83,135.2,0.6,46
Armenia,135,3284,3263,39,108.6,55.2,19100.2,<2.5,<0.5,<0.5,7.2,8.5,77.6,7.3,23,-0.8,70,82,99,94,,7.2,11.5,24.5,0.5,17.3,,8.3,1874,2421,0.2,2.5,114,2.3,11
Australia,138,3500,3458,23,119.6,79.3,59120,<2.5,4.8,3.6,12.8,13,-214.8,0.3,4,0.93,23,,99,99,,3.4,21.8,30.2,6.2,8.5,,6.6,1922,2496,0.22,2,157.6,,96
Austria,151,3828,3826,26,109.8,66.7,65836.9,<2.5,2,1.5,5.4,4.4,19.9,1.2,7,0.64,26,99,99,99,,,,15.4,1.1,13,,6.3,1946,2529,0.21,1.69,182.9,5.9,99
Azerbaijan,141,3427,3409,49,98,37.7,21031.5,<2.5,0.7,0.8,11.7,12.7,33.9,17.9,8,-0.93,49,72,98,96,,13.3,10.1,26.5,2,35.1,,11,1881,2435,0.21,2.33,96.8,2.5,69
Bahamas,,,,24,99.1,67.6,32895,,3.6,3.3,17.6,16.9,98.9,0.1,79,0.88,35,,99,95,,,,47.3,0.1,14.5,,15.4,1933,2512,0.23,3.36,103.3,,
