Area,Food Group Indicator,Unit,Value
Afghanistan,Energy apparent intake of All food groups,kcal/cap/d,2349.0
Afghanistan,Energy apparent intake of All food groups (excluding beverages),kcal/cap/d,2348.0
Afghanistan,Energy apparent intake of Cereals and their products,kcal/cap/d,1485.0
Afghanistan,"Energy apparent intake of Roots, tubers, plantains and their products",kcal/cap/d,36.0
Afghanistan,"Energy apparent intake of Pulses, seeds and nuts and their products",kcal/cap/d,84.0
Afghanistan,Energy apparent intake of Milk and milk products,kcal/cap/d,61.0
Afghanistan,Energy apparent intake of Eggs and their products,kcal/cap/d,8.0
Afghanistan,"Energy apparent intake of Fish, shellfish and their products",kcal/cap/d,0.0
Afghanistan,Energy apparent intake of Meat and meat products,kcal/cap/d,26.0
Afghanistan,Energy apparent intake of Vegetables and their products,kcal/cap/d,44.0
Afghanistan,Energy apparent intake of Fruits and their products,kcal/cap/d,39.0
Afghanistan,Energy apparent intake of Fats and oils,kcal/cap/d,373.0
Afghanistan,Energy apparent intake of Sweets and sugars,kcal/cap/d,154.0
Afghanistan,Energy apparent intake of Spices and condiments,kcal/cap/d,10.0
Afghanistan,Energy apparent intake of Beverages,kcal/cap/d,1.0
Afghanistan,Energy apparent intake of Miscellaneous,kcal/cap/d,27.0
Afghanistan,Protein apparent intake of All food groups,g/cap/d,59.5
Afghanistan,Protein apparent intake of All food groups (excluding beverages),g/cap/d,59.5
Afghanistan,Protein apparent intake of Cereals and their products,g/cap/d,41.6
Afghanistan,"Protein apparent intake of Roots, tubers, plantains and their products",g/cap/d,0.8
Afghanistan,"Protein apparent intake of Pulses, seeds and nuts and their products",g/cap/d,5.6
Afghanistan,Protein apparent intake of Milk and milk products,g/cap/d,3.1
Afghanistan,Protein apparent intake of Eggs and their products,g/cap/d,0.7
Afghanistan,"Protein apparent intake of Fish, shellfish and their products",g/cap/d,0.1
Afghanistan,Protein apparent intake of Meat and meat products,g/cap/d,3.3
Afghanistan,Protein apparent intake of Vegetables and their products,g/cap/d,2.2
Afghanistan,Protein apparent intake of Fruits and their products,g/cap/d,0.5
Afghanistan,Protein apparent intake of Fats and oils,g/cap/d,0.0
Afghanistan,Protein apparent intake of Sweets and sugars,g/cap/d,0.6
Afghanistan,Protein apparent intake of Spices and condiments,g/cap/d,0.4
Afghanistan,Protein apparent intake of Beverages,g/cap/d,0.0
Afghanistan,Protein apparent intake of Miscellaneous,g/cap/d,0.7
Afghanistan,Fat apparent intake of All food groups,g/cap/d,56.4
Afghanistan,Fat apparent intake of All food groups (excluding beverages),g/cap/d,56.4
Afghanistan,Fat apparent intake of Cereals and their products,g/cap/d,6.3
Afghanistan,"Fat apparent intake of Roots, tubers, plantains and their products",g/cap/d,0.1
Afghanistan,"Fat apparent intake of Pulses, seeds and nuts and their products",g/cap/d,1.2
Afghanistan,Fat apparent intake of Milk and milk products,g/cap/d,1.7
Afghanistan,Fat apparent intake of Eggs and their products,g/cap/d,0.5
Afghanistan,"Fat apparent intake of Fish, shellfish and their products",g/cap/d,0.0
Afghanistan,Fat apparent intake of Meat and meat products,g/cap/d,1.4
Afghanistan,Fat apparent intake of Vegetables and their products,g/cap/d,0.3
Afghanistan,Fat apparent intake of Fruits and their products,g/cap/d,0.2
Afghanistan,Fat apparent intake of Fats and oils,g/cap/d,41.5
Afghanistan,Fat apparent intake of Sweets and sugars,g/cap/d,2.3
Afghanistan,Fat apparent intake of Spices and condiments,g/cap/d,0.2
Afghanistan,Fat apparent intake of Beverages,g/cap/d,0.0
Afghanistan,Fat apparent intake of Miscellaneous,g/cap/d,0.7
Afghanistan,Carbohydrate (available) apparent intake of All food groups,g/cap/d,386.7
Afghanistan,Carbohydrate (available) apparent intake of All food groups (excluding beverages),g/cap/d,386.4
Afghanistan,Carbohydrate (available) apparent intake of Cereals and their products,g/cap/d,306.9
Afghanistan,"Carbohydrate (available) apparent intake of Roots, tubers, plantains and their products",g/cap/d,7.5
Afghanistan,"Carbohydrate (available) apparent intake of Pulses, seeds and nuts and their products",g/cap/d,10.4
Afghanistan,Carbohydrate (available) apparent intake of Milk and milk products,g/cap/d,8.4
Afghanistan,Carbohydrate (available) apparent intake of Eggs and their products,g/cap/d,0.0
Afghanistan,"Carbohydrate (available) apparent intake of Fish, shellfish and their products",g/cap/d,0.0
Afghanistan,Carbohydrate (available) apparent intake of Meat and meat products,g/cap/d,0.1
Afghanistan,Carbohydrate (available) apparent intake of Vegetables and their products,g/cap/d,6.6
Afghanistan,Carbohydrate (available) apparent intake of Fruits and their products,g/cap/d,8.2
Afghanistan,Carbohydrate (available) apparent intake of Fats and oils,g/cap/d,0.0
Afghanistan,Carbohydrate (available) apparent intake of Sweets and sugars,g/cap/d,32.7
Afghanistan,Carbohydrate (available) apparent intake of Spices and condiments,g/cap/d,1.3
Afghanistan,Carbohydrate (available) apparent intake of Beverages,g/cap/d,0.3
Afghanistan,Carbohydrate (available) apparent intake of Miscellaneous,g/cap/d,4.2
Afghanistan,Dietary Fibre apparent intake of All food groups,g/cap/d,28.4
Afghanistan,Dietary Fibre apparent intake of All food groups (excluding beverages),g/cap/d,28.4
Afghanistan,Dietary Fibre apparent intake of Cereals and their products,g/cap/d,17.4
Afghanistan,"Dietary Fibre apparent intake of Roots, tubers, plantains and their products",g/cap/d,0.9
Afghanistan,"Dietary Fibre apparent intake of Pulses, seeds and nuts and their products",g/cap/d,4.7
Afghanistan,Dietary Fibre apparent intake of Milk and milk products,g/cap/d,0.3
Afghanistan,Dietary Fibre apparent intake of Eggs and their products,g/cap/d,0.0
Afghanistan,"Dietary Fibre apparent intake of Fish, shellfish and their products",g/cap/d,0.0
Afghanistan,Dietary Fibre apparent intake of Meat and meat products,g/cap/d,0.0
Afghanistan,Dietary Fibre apparent intake of Vegetables and their products,g/cap/d,2.9
Afghanistan,Dietary Fibre apparent intake of Fruits and their products,g/cap/d,1.1
Afghanistan,Dietary Fibre apparent intake of Fats and oils,g/cap/d,0.0
Afghanistan,Dietary Fibre apparent intake of Sweets and sugars,g/cap/d,0.2
Afghanistan,Dietary Fibre apparent intake of Spices and condiments,g/cap/d,0.6
Afghanistan,Dietary Fibre apparent intake of Beverages,g/cap/d,0.0
Afghanistan,Dietary Fibre apparent intake of Miscellaneous,g/cap/d,0.3
Afghanistan,Calcium apparent intake of All food groups,mg/cap/d,300.0
Afghanistan,Calcium apparent intake of All food groups (excluding beverages),mg/cap/d,300.0
Afghanistan,Calcium apparent intake of Cereals and their products,mg/cap/d,79.0
Afghanistan,"Calcium apparent intake of Roots, tubers, plantains and their products",mg/cap/d,5.0
Afghanistan,"Calcium apparent intake of Pulses, seeds and nuts and their products",mg/cap/d,26.0
Afghanistan,Calcium apparent intake of Milk and milk products,mg/cap/d,95.0
Afghanistan,Calcium apparent intake of Eggs and their products,mg/cap/d,3.0
Afghanistan,"Calcium apparent intake of Fish, shellfish and their products",mg/cap/d,0.0
Afghanistan,Calcium apparent intake of Meat and meat products,mg/cap/d,2.0
Afghanistan,Calcium apparent intake of Vegetables and their products,mg/cap/d,45.0
Afghanistan,Calcium apparent intake of Fruits and their products,mg/cap/d,12.0
Afghanistan,Calcium apparent intake of Fats and oils,mg/cap/d,0.0
Afghanistan,Calcium apparent intake of Sweets and sugars,mg/cap/d,15.0
Afghanistan,Calcium apparent intake of Spices and condiments,mg/cap/d,9.0
Afghanistan,Calcium apparent intake of Beverages,mg/cap/d,0.0
Afghanistan,Calcium apparent intake of Miscellaneous,mg/cap/d,9.0
Afghanistan,Iron apparent intake of All food groups,mg/cap/d,16.4
Afghanistan,Iron apparent intake of All food groups (excluding beverages),mg/cap/d,16.4
Afghanistan,Iron apparent intake of Cereals and their products,mg/cap/d,11.9
Afghanistan,"Iron apparent intake of Roots, tubers, plantains and their products",mg/cap/d,0.3
