,Area Code,Item Code,Element Code,Max Year Code
0,1,210011,6132,20212023
1,1,210041,6121,20212023
2,1,210071,6132,20212023
3,1,210071,61321,20212023
4,1,210071,61322,20212023
5,1,210071F,6132,20212023
6,1,210071F,61321,20212023
7,1,210071F,61322,20212023
8,1,210071M,6132,20212023
9,1,210071M,61321,20212023
10,1,210071M,61322,20212023
11,1,210081,6132,20212023
12,1,210081,61321,20212023
13,1,210081,61322,20212023
14,1,210081F,6132,20212023
15,1,210081F,61321,20212023
16,1,210081F,61322,20212023
17,1,210081M,6132,20212023
18,1,210081M,61321,20212023
19,1,210081M,61322,20212023
20,1,210091,6121,20212023
21,1,210091,61211,20212023
22,1,210091,61212,20212023
23,1,210091F,6121,20212023
24,1,210091F,61211,20212023
25,1,210091F,61212,20212023
26,1,210091M,6121,20212023
27,1,210091M,61211,20212023
28,1,210091M,61212,20212023
29,1,21010,6121,20212023
30,1,21012,6121,20202022
31,1,21013,6123,20202022
32,1,21014,6123,20202022
33,1,21016,6124,2021
34,1,21025,6121,2022
35,1,210250,6132,2022
36,1,21026,6121,2022
37,1,210260,6132,2023
38,1,21031,6128,2023
39,1,21032,6125,2022
40,1,21033,6121,20202022
41,1,21034,6121,20202022
42,1,21035,6121,20202022
43,1,210401,6121,20212023
44,1,210401,61211,20212023
45,1,210401,61212,20212023
46,1,210401F,6121,20212023
47,1,210401F,61211,20212023
48,1,210401F,61212,20212023
49,1,210401M,6121,20212023
50,1,210401M,61211,20212023
51,1,210401M,61212,20212023
52,1,21041,6121,2022
53,1,210410,6132,2022
54,1,21042,6121,2022
55,1,210420,6132,2022
56,1,21043,6121,2019
57,1,210430,6132,2019
58,1,21044,6121,2022
59,1,21045,6121,2022
60,1,21046,6121,2022
61,1,21047,6121,2022
62,1,21048,6121,2022
63,1,21049,6121,2020
64,1,210490,6132,2020
65,1,21056,6128,2023
66,1,21057,6128,2023
67,1,21058,6173,2023
68,1,21059,6121,2023
69,1,21061,6123,20202022
70,1,22000,6128,20212023
71,1,220001,6128,2023
72,1,22013,6126,2022
73,2,210011,6132,20212023
74,2,210041,6121,20212023
75,2,210071,6132,20212023
76,2,210071,61321,20212023
77,2,210071,61322,20212023
78,2,210071F,6132,20212023
79,2,210071F,61321,20212023
80,2,210071F,61322,20212023
81,2,210071M,6132,20212023
82,2,210071M,61321,20212023
83,2,210071M,61322,20212023
84,2,210081,6132,20212023
85,2,210081,61321,20212023
86,2,210081,61322,20212023
87,2,210081F,6132,20212023
88,2,210081F,61321,20212023
89,2,210081F,61322,20212023
90,2,210081M,6132,20212023
91,2,210081M,61321,20212023
92,2,210081M,61322,20212023
93,2,210091,6121,20212023
94,2,210091,61211,20212023
95,2,210091,61212,20212023
96,2,210091F,6121,20212023
97,2,210091F,61211,20212023
98,2,210091F,61212,20212023
99,2,210091M,6121,20212023
100,2,210091M,61211,20212023
101,2,210091M,61212,20212023
102,2,21010,6121,20212023
103,2,21012,6121,20202022
104,2,21013,6123,20202022
105,2,21014,6123,20202022
106,2,21025,6121,2022
107,2,210250,6132,2022
108,2,21026,6121,2022
109,2,210260,6132,2023
110,2,21031,6128,2023
111,2,21032,6125,2022
112,2,21033,6121,20202022
113,2,21034,6121,20202022
114,2,21035,6121,20202022
115,2,210401,6121,20212023
116,2,210401,61211,20212023
117,2,210401,61212,20212023
118,2,210401F,6121,20212023
119,2,210401F,61211,20212023
120,2,210401F,61212,20212023
121,2,210401M,6121,20212023
122,2,210401M,61211,20212023
123,2,210401M,61212,20212023
124,2,21041,6121,2022
125,2,210410,6132,2022
126,2,21042,6121,2022
127,2,210420,6132,2022
128,2,21043,6121,2019
129,2,210430,6132,2019
130,2,21044,6121,2022
131,2,21045,6121,2022
132,2,21047,6121,2022
133,2,21048,6121,2022
134,2,21049,6121,2020
135,2,210490,6132,2020
136,2,21056,6128,2023
137,2,21057,6128,2023
138,2,21058,6173,2023
139,2,21059,6121,2023
140,2,21061,6123,20202022
141,2,22000,6128,20212023
142,2,220001,6128,2023
143,2,22013,6126,2021
144,3,210011,6132,20212023
145,3,210041,6121,20212023
146,3,210071,6132,20212023
147,3,210071,61321,20212023
148,3,210071,61322,20212023
149,3,210071F,6132,20212023
150,3,210071F,61321,20212023
151,3,210071F,61322,20212023
152,3,210071M,6132,20212023
153,3,210071M,61321,20212023
154,3,210071M,61322,20212023
155,3,210081,6132,20212023
156,3,210081,61321,20212023
157,3,210081,61322,20212023
158,3,210081F,6132,20212023
159,3,210081F,61321,20212023
160,3,210081F,61322,20212023
161,3,210081M,6132,20212023
162,3,210081M,61321,20212023
163,3,210081M,61322,20212023
164,3,210091,6121,20212023
165,3,210091,61211,20212023
166,3,210091,61212,20212023
167,3,210091F,6121,20212023
168,3,210091F,61211,20212023
169,3,210091F,61212,20212023
170,3,210091M,6121,20212023
171,3,210091M,61211,20212023
172,3,210091M,61212,20212023
173,3,21010,6121,20212023
174,3,21012,6121,20202022
175,3,21013,6123,20202022
176,3,21014,6123,20202022
177,3,21016,6124,2009
178,3,21025,6121,2022
179,3,210250,6132,2022
180,3,21026,6121,2022
181,3,210260,6132,2023
182,3,21031,6128,2023
183,3,21032,6125,2022
184,3,21033,6121,20202022
185,3,21034,6121,20202022
186,3,21035,6121,20202022
187,3,210401,6121,20212023
188,3,210401,61211,20212023
189,3,210401,61212,20212023
190,3,210401F,6121,20212023
191,3,210401F,61211,20212023
192,3,210401F,61212,20212023
193,3,210401M,6121,20212023
194,3,210401M,61211,20212023
195,3,210401M,61212,20212023
196,3,21041,6121,2022
197,3,210410,6132,2022
198,3,21042,6121,2022
199,3,210420,6132,2022
200,3,21043,6121,2019
201,3,210430,6132,2019
202,3,21044,6121,2022
203,3,21045,6121,2022
204,3,21046,6121,2022
205,3,21047,6121,2022
206,3,21048,6121,2022
207,3,21049,6121,2020
208,3,210490,6132,2020
209,3,21056,6128,2023
210,3,21057,6128,2023
211,3,21058,6173,2023
212,3,21059,6121,2023
213,3,21061,6123,20202022
214,3,22000,6128,20212023
215,3,220001,6128,2023
216,3,22013,6126,2022
217,4,210011,6132,20212023
218,4,210041,6121,20212023
219,4,210071,6132,20212023
220,4,210071,61321,20212023
221,4,210071,61322,20212023
222,4,210071F,6132,20212023
223,4,210071F,61321,20212023
224,4,210071F,61322,20212023
225,4,210071M,6132,20212023
226,4,210071M,61321,20212023
227,4,210071M,61322,20212023
228,4,210081,6132,20212023
229,4,210081,61321,20212023
230,4,210081,61322,20212023
231,4,210081F,6132,20212023
232,4,210081F,61321,20212023
233,4,210081F,61322,20212023
234,4,210081M,6132,20212023
235,4,210081M,61321,20212023
236,4,210081M,61322,20212023
237,4,210091,6121,20212023
238,4,210091,61211,20212023
239,4,210091,61212,20212023
240,4,210091F,6121,20212023
241,4,210091F,61211,20212023
242,4,210091F,61212,20212023
243,4,210091M,6121,20212023
244,4,210091M,61211,20212023
245,4,210091M,61212,20212023
246,4,21010,6121,20212023
247,4,21012,6121,20202022
248,4,21013,6123,20202022
249,4,21014,6123,20202022
250,4,21016,6124,2021
251,4,21025,6121,2022
252,4,210250,6132,2022
253,4,21026,6121,2022
254,4,210260,6132,2023
255,4,21031,6128,2023
256,4,21032,6125,2022
257,4,21033,6121,20202022
258,4,21034,6121,20202022
259,4,21035,6121,20202022
260,4,210401,6121,20212023
261,4,210401,61211,20212023
262,4,210401,61212,20212023
263,4,210401F,6121,20212023
264,4,210401F,61211,20212023
265,4,210401F,61212,20212023
266,4,210401M,6121,20212023
267,4,210401M,61211,20212023
268,4,210401M,61212,20212023
269,4,21041,6121,2022
270,4,210410,6132,2022
271,4,21042,6121,2022
272,4,210420,6132,2022
273,4,21043,6121,2019
274,4,210430,6132,2019
275,4,21044,6121,2022
276,4,21045,6121,2022
277,4,21046,6121,2022
278,4,21047,6121,2022
279,4,21048,6121,2022
280,4,21049,6121,2020
281,4,210490,6132,2020
282,4,21056,6128,2023
283,4,21057,6128,2023
284,4,21058,6173,2023
285,4,21059,6121,2023
286,4,21061,6123,20202022
287,4,22000,6128,20212023
288,4,220001,6128,2023
289,4,22013,6126,2022
290,5,210011,6132,20212023
291,5,210041,6121,20212023
292,5,210071,6132,20212023
293,5,210071,61321,20212023
294,5,210071,61322,20212023
