Survey Code,Survey,Geographic Level Code,Geographic Level,Food Group Code,Food Group,Indicator Code,Indicator,Element Code,Element,Unit,Value,Flag,Note,Area,Year Code,Max Year Code
032_2018,Argentina - 2018,10000,National,FG1,Cereals and their products,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,156.4,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG1,Cereals and their products,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,133.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG1,Cereals and their products,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,178.8,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG2,"Roots, tubers, plantains and their products",3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,53,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG2,"Roots, tubers, plantains and their products",3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,42.7,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG2,"Roots, tubers, plantains and their products",3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,63.3,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG3,"Pulses, seeds and nuts and their products",3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,1.9,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG3,"Pulses, seeds and nuts and their products",3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,0.8,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG3,"Pulses, seeds and nuts and their products",3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,3.1,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG4,Milk and milk products,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,106.6,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG4,Milk and milk products,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,78,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG4,Milk and milk products,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,135.1,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG5,Eggs and their products,3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,12.5,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG5,Eggs and their products,3300,"Food, edible, apparent consumption",61231,Confidence interval: Lower bound,g/cap/d,8,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG5,Eggs and their products,3300,"Food, edible, apparent consumption",61232,Confidence interval: Upper bound,g/cap/d,17.1,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
032_2018,Argentina - 2018,10000,National,FG6,"Fish, shellfish and their products",3300,"Food, edible, apparent consumption",6123A,Average,g/cap/d,5.1,E,"Encuesta de Gastos de los Hogares, November 2017 - November 2018.",Argentina,2018,2018
