Food Group,Indicator,Element,Unit,Value
All food groups,Energy apparent intake,Average,kcal/cap/d,1822
All food groups,Protein apparent intake,Average,g/cap/d,69.2
All food groups,Fat apparent intake,Average,g/cap/d,69.1
All food groups,Carbohydrate (available) apparent intake,Average,g/cap/d,216.6
All food groups,Dietary Fibre apparent intake,Average,g/cap/d,12.1
All food groups,Calcium apparent intake,Average,mg/cap/d,495
All food groups,Iron apparent intake,Average,mg/cap/d,12.1
All food groups,Magnesium apparent intake,Average,mg/cap/d,181
All food groups,Phosphorus apparent intake,Average,mg/cap/d,994
All food groups,Potassium apparent intake,Average,mg/cap/d,1976
All food groups,Zinc apparent intake,Average,mg/cap/d,9.29
All food groups,Vitamin C apparent intake,Average,mg/cap/d,72
All food groups,Thiamin apparent intake,Average,mg/cap/d,1.15
All food groups,Riboflavin apparent intake,Average,mg/cap/d,1.55
All food groups,Vitamin B6 apparent intake,Average,mg/cap/d,1.62
All food groups,Vitamin B12 apparent intake,Average,µg/cap/d,4.86
All food groups (excluding beverages),Energy apparent intake,Average,kcal/cap/d,1743
All food groups (excluding beverages),Protein apparent intake,Average,g/cap/d,68.4
All food groups (excluding beverages),Fat apparent intake,Average,g/cap/d,68.7
All food groups (excluding beverages),Carbohydrate (available) apparent intake,Average,g/cap/d,204.1
All food groups (excluding beverages),Dietary Fibre apparent intake,Average,g/cap/d,11.5
All food groups (excluding beverages),Calcium apparent intake,Average,mg/cap/d,457
All food groups (excluding beverages),Iron apparent intake,Average,mg/cap/d,11.7
All food groups (excluding beverages),Magnesium apparent intake,Average,mg/cap/d,167
All food groups (excluding beverages),Phosphorus apparent intake,Average,mg/cap/d,943
All food groups (excluding beverages),Potassium apparent intake,Average,mg/cap/d,1869
All food groups (excluding beverages),Zinc apparent intake,Average,mg/cap/d,9.11
All food groups (excluding beverages),Vitamin C apparent intake,Average,mg/cap/d,61
All food groups (excluding beverages),Thiamin apparent intake,Average,mg/cap/d,1.13
All food groups (excluding beverages),Riboflavin apparent intake,Average,mg/cap/d,1.52
All food groups (excluding beverages),Vitamin B6 apparent intake,Average,mg/cap/d,1.58
All food groups (excluding beverages),Vitamin B12 apparent intake,Average,µg/cap/d,4.84
Beverages,"Food, edible, apparent consumption",Average,g/cap/d,289.9
Beverages,Energy apparent intake,Average,kcal/cap/d,79
Beverages,Protein apparent intake,Average,g/cap/d,0.8
Beverages,Fat apparent intake,Average,g/cap/d,0.4
Beverages,Carbohydrate (available) apparent intake,Average,g/cap/d,12.5
Beverages,Dietary Fibre apparent intake,Average,g/cap/d,0.6
Beverages,Calcium apparent intake,Average,mg/cap/d,38
Beverages,Iron apparent intake,Average,mg/cap/d,0.4
Beverages,Magnesium apparent intake,Average,mg/cap/d,14
Beverages,Phosphorus apparent intake,Average,mg/cap/d,51
Beverages,Potassium apparent intake,Average,mg/cap/d,107
Beverages,Zinc apparent intake,Average,mg/cap/d,0.18
Beverages,Vitamin C apparent intake,Average,mg/cap/d,11
Beverages,Thiamin apparent intake,Average,mg/cap/d,0.02
Beverages,Riboflavin apparent intake,Average,mg/cap/d,0.03
Beverages,Vitamin B6 apparent intake,Average,mg/cap/d,0.04
Beverages,Vitamin B12 apparent intake,Average,µg/cap/d,0.02
Cereals and their products,"Food, edible, apparent consumption",Average,g/cap/d,156.4
Cereals and their products,Energy apparent intake,Average,kcal/cap/d,531
Cereals and their products,Protein apparent intake,Average,g/cap/d,14.6
Cereals and their products,Fat apparent intake,Average,g/cap/d,6.4
Cereals and their products,Carbohydrate (available) apparent intake,Average,g/cap/d,101.3
Cereals and their products,Dietary Fibre apparent intake,Average,g/cap/d,4.5
Cereals and their products,Calcium apparent intake,Average,mg/cap/d,37
Cereals and their products,Iron apparent intake,Average,mg/cap/d,4.9
Cereals and their products,Magnesium apparent intake,Average,mg/cap/d,44
Cereals and their products,Phosphorus apparent intake,Average,mg/cap/d,173
Cereals and their products,Potassium apparent intake,Average,mg/cap/d,227
Cereals and their products,Zinc apparent intake,Average,mg/cap/d,1.44
Cereals and their products,Vitamin C apparent intake,Average,mg/cap/d,0
