csv
Day,Meal,Food,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Tofu scramble with spinach and garlic,250,1 cup,15,10,2,20,15,200,2,400,5
Monday,Snack,Apple slices with walnuts,150,1 medium apple,7,20,15,3,5,30,0.5,150,3
Monday,Lunch,Grilled chicken with pumpkin and brown rice,400,1 cup,10,50,5,30,25,50,3,600,5
Monday,Snack,Grapes,100,1 cup,0.5,27,23,1,2,10,0.5,150,1
Monday,Dinner,Steamed mackerel with Korean radish and cabbage,350,1 fillet,20,10,0,30,20,40,1.5,500,2
Total Calories for Monday,,"",1350,,,,,,,,,,
Tuesday,Breakfast,Oatmeal with pears and ginger,300,1 cup,5,55,10,10,10,30,1,200,4
Tuesday,Snack,Pumpkin seeds,180,1 oz,14,5,1,8,10,20,2,200,2
Tuesday,Lunch,Pork stir-fry with broccoli and carrots,450,1 cup,15,30,5,35,20,40,2,500,4
Tuesday,Snack,Persimmon,120,1 medium,0.5,31,24,1,2,10,0.5,150,5
Tuesday,Dinner,Tofu soup with seaweed and green onions,300,1 bowl,10,20,2,20,15,30,1,400,3
Total Calories for Tuesday,,"",1350,,,,,,,,,,
Wednesday,Breakfast,Smoothie with spinach, banana, and yogurt,350,1 cup,5,50,20,15,15,200,1,300,5
Wednesday,Snack,Chestnuts,150,1 oz,1,34,0,3,5,10,0.5,150,2
Wednesday,Lunch,Grilled beef with sweet potatoes and garlic,500,1 cup,20,40,5,40,25,50,3,600,5
Wednesday,Snack,Carrot sticks with hummus,200,1 cup,10,30,5,5,5,20,1,200,3
Wednesday,Dinner,Steamed cod with cabbage and mushrooms,350,1 fillet,15,10,0,30,20,40,1.5,500,2
Total Calories for Wednesday,,"",1550,,,,,,,,,,
Thursday,Breakfast,Tofu and vegetable stir-fry,300,1 cup,10,20,5,20,15,30,1,400,5
Thursday,Snack,Apple slices with almond butter,200,1 medium apple,10,20,15,5,5,30,0.5,150,3
Thursday,Lunch,Chicken soup with Korean radish and spinach,400,1 bowl,10,30,5,30,20,40,2,500,4
Thursday,Snack,Grapes,100,1 cup,0.5,27,23,1,2,10,0.5,150,1
Thursday,Dinner,Pork and pumpkin stew,350,1 cup,15,20,5,30,20,40,1.5,500,3
Total Calories for Thursday,,"",1450,,,,,,,,,,
Friday,Breakfast,Oatmeal with chestnuts and honey,300,1 cup,5,55,10,10,10,30,1,200,4
Friday,Snack,Pear slices,100,1 medium,0.5,27,10,1,2,10,0.5,150,3
Friday,Lunch,Grilled chicken salad with mixed vegetables,400,1 cup,10,30,5,30,20,40,2,500,5
Friday,Snack,Persimmon,120,1 medium,0.5,31,24,1,2,10,0.5,150,5
Friday,Dinner,Steamed mackerel with sweet potatoes,350,1 fillet,20,10,0,30,20,40,1.5,500,2
Total Calories for Friday,,"",1370,,,,,,,,,,
Saturday,Breakfast,Smoothie with banana and spinach,350,1 cup,5,50,20,15,15,200,1,300,5
Saturday,Snack,Pumpkin seeds,180,1 oz,14,5,1,8,10,20,2,200,2
Saturday,Lunch,Pork stir-fry with broccoli and carrots,450,1 cup,15,30,5,35,20,40,2,500,4
Saturday,Snack,Carrot sticks with hummus,200,1 cup,10,30,5,5,5,20,1,200,3
Saturday,Dinner,Tofu soup with seaweed and green onions,300,1 bowl,10,20,2,20,15,30,1,400,3
Saturday,Drink,Soju,600,360 ml,0,0,0,0,0,0,0,0,0
Total Calories for Saturday,,"",1880,,,,,,,,,,
Sunday,Breakfast,Tofu scramble with spinach and garlic,250,1 cup,15,10,2,20,15,200,2,400,5
Sunday,Snack,Apple slices with walnuts,150,1 medium apple,7,20,15,3,5,30,0.5,150,3
Sunday,Lunch,Grilled chicken with pumpkin and brown rice,400,1 cup,10,50,5,30,25,50,3,600,5
Sunday,Snack,Grapes,100,1 cup,0.5,27,23,1,2,10,0.5,150,1
Sunday,Dinner,Steamed cod with cabbage and mushrooms,350,1 fillet,15,10,0,30,20,40,1.5,500,2
Sunday,Drink,Soju,600,360 ml,0,0,0,0,0,0,0,0,0
Total Calories for Sunday,,"",1950,,,,,,,,,,
