csv
Day,Meal,Food,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Oatmeal with Berries, Almonds, and Flaxseeds,400,1 cup,10,60,15,12,20,50,3.0,350,10
Monday,Snack,Apple with Almond Butter,250,1 medium apple,9,27,19,5,8,30,0.7,200,5
Monday,Lunch,Quinoa Salad with Spinach, Chickpeas, and Pumpkin Seeds,500,2 cups,15,70,8,20,25,80,5.0,500,12
Monday,Snack,Carrot Sticks with Hummus,200,1 cup,5,20,5,5,10,30,1.5,250,5
Monday,Dinner,Stir-fried Tofu with Kale, Garlic, and Brown Rice,500,1.5 cups,15,60,5,30,20,150,4.0,600,8
Total Calories for Monday,,,"1850",,,,,"",,,,"",,
Tuesday,Breakfast,Smoothie with Spinach, Banana, Almond Milk, and Protein Powder,400,1 large glass,5,45,20,20,15,30,2.0,250,6
Tuesday,Snack,Nuts and Seeds Mix,250,1 oz,18,6,2,8,12,30,1.5,200,4
Tuesday,Lunch,Lentil Soup with Vegetables and Whole Grain Bread,500,1 bowl,10,70,5,25,20,40,4.0,400,10
Tuesday,Snack,Radishes with Guacamole,200,1 cup,10,15,2,3,5,10,0.5,100,3
Tuesday,Dinner,Stuffed Bell Peppers with Quinoa, Black Beans, and Avocado,500,2 peppers,15,70,5,20,25,60,4.0,400,8
Total Calories for Tuesday,,,"1850",,,,,"",,,,"",,
Wednesday,Breakfast,Chia Pudding with Almond Milk, Berries, and Walnuts,400,1 cup,15,40,15,10,15,40,2.5,300,8
Wednesday,Snack,Carrot and Celery Sticks with Hummus,150,1 cup,1,20,5,2,4,20,0.5,100,3
Wednesday,Lunch,Vegetable Stir-fry with Tofu and Brown Rice,500,1.5 cups,15,60,5,30,20,80,4.0,400,8
Wednesday,Snack,Apple Slices with Peanut Butter,250,1 medium apple,8,27,19,5,6,20,0.5,150,4
Wednesday,Dinner,Quinoa and Black Bean Bowl with Avocado,500,1.5 cups,10,60,5,20,20,50,4.0,400,10
Total Calories for Wednesday,,,"1850",,,,,"",,,,"",,
Thursday,Breakfast,Smoothie Bowl with Banana, Spinach, and Nuts,400,1 bowl,15,40,20,10,15,30,1.5,250,5
Thursday,Snack,Beet Chips,200,1 oz,5,25,5,3,6,20,0.5,100,2
Thursday,Lunch,Chickpea Salad with Cabbage, Carrots, and Tahini,500,2 cups,10,60,5,20,25,80,5.0,400,10
Thursday,Snack,Peas with Hummus,200,1 cup,5,20,5,4,8,30,1.5,200,4
Thursday,Dinner,Stuffed Zucchini with Lentils and Quinoa,500,2 zucchinis,8,50,5,25,20,50,3.0,300,6
Total Calories for Thursday,,,"2000",,,,,"",,,,"",,
Friday,Breakfast,Oatmeal with Banana, Walnuts, and Chia Seeds,400,1 cup,15,45,10,10,15,30,1.5,250,5
Friday,Snack,Spinach and Apple Smoothie,250,1 large glass,5,40,20,5,10,30,1.5,200,4
Friday,Lunch,Vegetable Curry with Quinoa and Chickpeas,500,1.5 cups,10,60,5,20,20,80,4.0,400,8
Friday,Snack,Radish and Cucumber Salad,200,1 cup,1,20,5,2,4,20,0.5,100,3
Friday,Dinner,Tofu Stir-fry with Mixed Vegetables and Brown Rice,500,1.5 cups,15,30,5,30,20,50,3.0,400,6
Total Calories for Friday,,,"1850",,,,,"",,,,"",,
Saturday,Breakfast,Chia Seed Pudding with Almond Milk and Berries,400,1 cup,10,40,15,8,12,40,2.5,300,6
Saturday,Snack,Nuts and Dried Fruits,250,1 oz,18,20,10,5,10,30,1.5,200,3
Saturday,Lunch,Quinoa Salad with Roasted Vegetables and Chickpeas,500,1.5 cups,10,60,5,20,20,80,4.0,400,10
Saturday,Snack,Carrot Sticks with Hummus,200,1 cup,5,20,5,4,8,30,1.5,200,4
Saturday,Dinner,Stuffed Bell Peppers with Lentils and Avocado,500,2 peppers,8,70,5,20,25,60,3.0,400,8
Total Calories for Saturday,,,"1850",,,,,"",,,,"",,
Sunday,Breakfast,Smoothie Bowl with Spinach, Berries, and Almonds,400,1 bowl,5,40,20,5,10,30,1.5,250,5
Sunday,Snack,Apple with Almond Butter,250,1 medium apple,9,27,19,4,6,20,0.5,150,4
Sunday,Lunch,Lentil Soup with Vegetables and Whole Grain Bread,500,1 bowl,10,70,5,25,20,40,4.0,300,8
Sunday,Snack,Radishes with Guacamole,200,1 cup,10,15,2,2,5,10,0.5,100,3
Sunday,Dinner,Quinoa and Black Bean Bowl with Avocado,500,1.5 cups,5,60,5,20,20,50,4.0,400,10
Total Calories for Sunday,,,"1850",,,,,"",,,,"",,
